Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
38,Stéphane Bahoken,cm CMR,FW,Angers,27,1992,20,10,907,10.1,4,0,4,3,1,1,3,0,3.4,2.6,0.6,3.2,16,8,74,0.4,0,0.4,0.3,0.3,0.33,0.06,0.39,0.26,0.31,Matches,2019-2020
39,Dénys Bain,fr FRA,DF,Brest,26,1993,15,13,"1,268",14.1,1,0,1,1,0,0,3,1,0.7,0.7,0,0.7,1,23,0,0.07,0,0.07,0.07,0.07,0.05,0,0.05,0.05,0.05,Matches,2019-2020
40,Stefan Bajic,fr FRA,GK,Saint-Étienne,17,2001,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
41,Tiemoué Bakayoko,fr FRA,MF,Monaco,24,1994,20,20,"1,719",19.1,1,2,3,1,0,0,4,1,2.1,2.1,1.2,3.3,30,112,56,0.05,0.1,0.16,0.05,0.16,0.11,0.06,0.17,0.11,0.17,Matches,2019-2020
42,Mitchel Bakker,nl NED,DF,Paris S-G,19,2000,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
43,Keita Baldé,sn SEN,"FW,MF",Monaco,24,1995,21,9,858,9.5,4,1,5,4,0,0,4,0,4,4,0.7,4.7,27,23,78,0.42,0.1,0.52,0.42,0.52,0.42,0.07,0.49,0.42,0.49,Matches,2019-2020
44,Fodé Ballo-Touré,sn SEN,DF,Monaco,22,1997,21,18,"1,679",18.7,0,0,0,0,0,0,4,0,0.9,0.9,1.5,2.5,67,76,109,0,0,0,0,0,0.05,0.08,0.13,0.05,0.13,Matches,2019-2020
45,Florent Balmont,fr FRA,MF,Dijon,39,1980,11,4,401,4.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,7,31,5,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06,Matches,2019-2020
46,Abdoulaye Bamba,ci CIV,DF,Angers,29,1990,7,6,554,6.2,0,0,0,0,0,0,2,0,0,0,0.2,0.2,9,15,23,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches,2019-2020
47,Jonathan Bamba,ci CIV,"FW,MF",Lille,23,1996,26,22,"1,937",21.5,1,4,5,0,1,3,1,0,5.6,3.3,2.7,5.9,86,80,132,0.05,0.19,0.23,0,0.19,0.26,0.12,0.39,0.15,0.28,Matches,2019-2020
48,Danilo Barbosa,br BRA,"DF,MF",Nice,23,1996,16,12,"1,122",12.5,0,0,0,0,0,0,4,0,0.5,0.5,0.4,0.8,21,66,10,0,0,0,0,0,0.04,0.03,0.07,0.04,0.07,Matches,2019-2020
49,Melvin Bard,fr FRA,DF,Lyon,18,2000,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0.09,0.09,0,0.09,Matches,2019-2020
50,Toma Bašić,hr CRO,MF,Bordeaux,22,1996,15,11,991,11,1,3,4,1,0,0,4,0,0.8,0.8,2.7,3.5,19,77,24,0.09,0.27,0.36,0.09,0.36,0.07,0.24,0.31,0.07,0.31,Matches,2019-2020
51,Thomas Basila,fr FRA,DF,Nantes,20,1999,7,3,415,4.6,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,4,13,8,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,Matches,2019-2020
52,Gil Bastião Dias,pt POR,"DF,MF",Monaco,22,1996,14,12,"1,057",11.7,0,0,0,0,0,0,3,0,1,1,1.6,2.6,43,67,71,0,0,0,0,0,0.08,0.13,0.22,0.08,0.22,Matches,2019-2020
53,Cristian Battocchio,it ITA,MF,Brest,27,1992,24,16,"1,392",15.5,3,1,4,3,0,1,1,0,1.7,1,1.7,2.6,10,99,40,0.19,0.06,0.26,0.19,0.26,0.11,0.11,0.22,0.06,0.17,Matches,2019-2020
54,Gaëtan Belaud,fr FRA,DF,Brest,32,1986,7,6,580,6.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,3,36,17,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches,2019-2020
55,Haris Belkebla,dz ALG,MF,Brest,25,1994,23,20,"1,816",20.2,0,0,0,0,0,0,4,0,0.7,0.7,0.5,1.2,18,77,22,0,0,0,0,0,0.03,0.02,0.06,0.03,0.06,Matches,2019-2020
56,Raoul Bellanova,it ITA,DF,Bordeaux,19,2000,1,1,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
57,Jean-Ricner Bellegarde,ht HAI,MF,Strasbourg,21,1998,24,16,"1,497",16.6,0,0,0,0,0,0,2,0,1,1,1.2,2.1,40,64,65,0,0,0,0,0,0.06,0.07,0.13,0.06,0.13,Matches,2019-2020
58,Sami Ben Amar,ma MAR,FW,Nîmes,21,1998,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
59,Wissam Ben Yedder,fr FRA,FW,Monaco,28,1990,26,25,"2,164",24,18,4,22,15,3,3,1,0,14.4,12,6.2,18.2,71,102,209,0.75,0.17,0.91,0.62,0.79,0.6,0.26,0.85,0.5,0.76,Matches,2019-2020
60,Cristian Benavente,pe PER,"MF,FW",Nantes,25,1994,12,4,349,3.9,0,1,1,0,0,0,0,0,0.4,0.4,0.9,1.3,4,22,35,0,0.26,0.26,0,0.26,0.11,0.22,0.33,0.11,0.33,Matches,2019-2020
61,Darío Benedetto,ar ARG,FW,Marseille,29,1990,26,25,"2,101",23.3,11,0,11,11,0,1,4,0,9.6,8.8,1.7,10.5,14,39,120,0.47,0,0.47,0.47,0.47,0.41,0.07,0.49,0.38,0.45,Matches,2019-2020
62,Walter Benítez,ar ARG,GK,Nice,26,1993,26,26,"2,340",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
63,Loris Benito,ch SUI,DF,Bordeaux,27,1992,23,21,"1,896",21.1,1,0,1,1,0,0,5,0,0.8,0.8,0.9,1.7,50,119,73,0.05,0,0.05,0.05,0.05,0.04,0.04,0.08,0.04,0.08,Matches,2019-2020
64,Bilal Benkhedim,fr FRA,"MF,FW",Saint-Étienne,18,2001,3,1,132,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,4,7,3,0,0,0,0,0,0.27,0.28,0.55,0.27,0.55,Matches,2019-2020
65,Yassine Benrahou,fr FRA,"FW,MF",Bordeaux,20,1999,6,1,168,1.9,0,2,2,0,0,0,0,0,0.2,0.2,0.9,1.1,4,8,20,0,1.07,1.07,0,1.07,0.13,0.47,0.6,0.13,0.6,Matches,2019-2020
66,Yassine Benrahou,fr FRA,"MF,FW",Nîmes,20,1999,9,9,762,8.5,2,3,5,2,0,0,1,0,2,2,3.1,5.2,17,30,46,0.24,0.35,0.59,0.24,0.59,0.24,0.37,0.61,0.24,0.61,Matches,2019-2020
67,Yassine Benzia,dz ALG,MF,Dijon,24,1994,3,2,173,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.5,6,4,5,0,0,0,0,0,0.07,0.18,0.25,0.07,0.25,Matches,2019-2020
68,Robert Berić,si SVN,FW,Saint-Étienne,28,1991,11,4,413,4.6,1,0,1,1,0,0,0,0,1.4,1.4,0.3,1.7,3,2,23,0.22,0,0.22,0.22,0.22,0.31,0.06,0.37,0.31,0.37,Matches,2019-2020
69,Paul Bernardoni,fr FRA,GK,Nîmes,22,1997,25,25,"2,203",24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
70,Juan Bernat,es ESP,"DF,MF",Paris S-G,26,1993,18,16,"1,388",15.4,0,4,4,0,0,0,5,0,0.4,0.4,3.1,3.5,44,63,129,0,0.26,0.26,0,0.26,0.03,0.2,0.23,0.03,0.23,Matches,2019-2020
71,Dimitry Bertaud,cd COD,GK,Montpellier,21,1998,3,3,196,2.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
72,El Bilal Touré,ml MLI,FW,Reims,17,2001,7,6,453,5,3,0,3,1,2,2,2,0,3.3,1.8,0.2,2,7,4,34,0.6,0,0.6,0.2,0.2,0.65,0.04,0.7,0.36,0.4,Matches,2019-2020
73,Ludovic Blas,fr FRA,"FW,MF",Nantes,21,1997,24,22,"1,845",20.5,5,1,6,5,0,0,0,0,4,4,1.6,5.6,53,92,112,0.24,0.05,0.29,0.24,0.29,0.2,0.08,0.28,0.2,0.28,Matches,2019-2020
74,Alexis Blin,fr FRA,MF,Amiens,22,1996,24,21,"1,841",20.5,0,1,1,0,0,0,4,0,0.1,0.1,0.7,0.8,10,100,9,0,0.05,0.05,0,0.05,0.01,0.03,0.04,0.01,0.04,Matches,2019-2020
75,Antonin Bobichon,fr FRA,MF,Nîmes,23,1995,2,2,180,2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,3,17,5,0,0,0,0,0,0.03,0.04,0.06,0.03,0.06,Matches,2019-2020
76,Antonin Bobichon,fr FRA,MF,Angers,23,1995,11,8,649,7.2,2,1,3,2,0,0,0,0,1,1,0.6,1.6,20,42,24,0.28,0.14,0.42,0.28,0.42,0.14,0.09,0.23,0.14,0.23,Matches,2019-2020
77,Mathieu Bodmer,fr FRA,"MF,FW",Amiens,36,1982,9,0,88,1,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,2,9,3,1.02,0,1.02,1.02,1.02,0.28,0.2,0.48,0.28,0.48,Matches,2019-2020
78,Sacha Boey,fr FRA,DF,Rennes,18,2000,5,1,172,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,6,11,0,0,0,0,0,0.05,0.06,0.12,0.05,0.12,Matches,2019-2020
79,Quentin Boisgard,fr FRA,"MF,FW",Toulouse,22,1997,20,13,"1,146",12.7,1,1,2,1,0,0,1,0,0.8,0.8,1.4,2.3,27,41,61,0.08,0.08,0.16,0.08,0.16,0.07,0.11,0.18,0.07,0.18,Matches,2019-2020
80,Gabriel Boschilia,br BRA,"MF,FW",Monaco,23,1996,5,1,130,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,4,5,4,0,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches,2019-2020
81,Denis Bouanga,ga GAB,"FW,MF",Saint-Étienne,24,1994,26,23,"2,042",22.7,10,3,13,7,3,3,4,0,10.3,7.9,2.1,10,75,33,201,0.44,0.13,0.57,0.31,0.44,0.45,0.09,0.55,0.35,0.44,Matches,2019-2020
82,Hicham Boudaoui,dz ALG,"MF,FW",Nice,19,1999,9,6,490,5.4,1,2,3,1,0,0,2,1,1,1,1.1,2.1,17,13,54,0.18,0.37,0.55,0.18,0.55,0.19,0.2,0.38,0.19,0.38,Matches,2019-2020
83,Ryad Boudebouz,dz ALG,"MF,FW",Saint-Étienne,29,1990,24,20,"1,597",17.7,1,4,5,0,1,1,0,0,2.2,1.4,4.5,5.9,46,96,97,0.06,0.23,0.28,0,0.23,0.13,0.25,0.38,0.08,0.33,Matches,2019-2020
