Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
237,Alberto Grassi,it ITA,MF,Empoli,28,1995,27,22,"1,807",20.1,0,1,1,0,0,0,6,1,1.1,1.1,0.6,1.7,13,75,13,0,0.05,0.05,0,0.05,0.05,0.03,0.09,0.05,0.09,Matches,2023-2024
238,Mattéo Guendouzi,fr FRA,MF,Lazio,24,1999,33,27,"2,367",26.3,2,3,5,2,0,0,3,1,1.6,1.6,2.3,3.9,46,119,79,0.08,0.11,0.19,0.08,0.19,0.06,0.09,0.15,0.06,0.15,Matches,2023-2024
239,Axel Guessand,fr FRA,DF,Udinese,18,2004,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,2023-2024
240,Albert Guðmundsson,is ISL,"FW,MF",Genoa,26,1997,35,34,"3,016",33.5,14,4,18,10,4,5,4,0,9.9,5.8,5.2,11,82,120,168,0.42,0.12,0.54,0.3,0.42,0.3,0.16,0.45,0.17,0.33,Matches,2023-2024
241,Emmanuel Gyasi,gh GHA,"DF,FW",Empoli,29,1994,33,21,"1,879",20.9,1,2,3,1,0,0,8,0,3.5,3.5,1.5,5,15,41,60,0.05,0.1,0.14,0.05,0.14,0.17,0.07,0.24,0.17,0.24,Matches,2023-2024
242,Norbert Gyömbér,sk SVK,DF,Salernitana,31,1992,22,20,"1,760",19.6,0,0,0,0,0,0,9,0,0.2,0.2,0.2,0.3,4,42,2,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches,2023-2024
243,Nicolas Haas,ch SUI,MF,Empoli,27,1996,1,1,90,1,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,6,4,0,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches,2023-2024
244,Ridgeciano Haps,sr SUR,DF,Genoa,30,1993,16,7,773,8.6,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.8,13,13,42,0,0.12,0.12,0,0.12,0.01,0.08,0.1,0.01,0.1,Matches,2023-2024
245,Abdou Harroui,nl NED,"MF,FW",Frosinone,25,1998,18,13,"1,019",11.3,3,3,6,2,1,1,2,0,3.1,2.3,1.2,3.5,43,38,56,0.26,0.26,0.53,0.18,0.44,0.27,0.1,0.38,0.21,0.31,Matches,2023-2024
246,Hans Hateboer,nl NED,DF,Atalanta,29,1994,23,10,"1,113",12.4,0,1,1,0,0,0,5,0,0.3,0.3,2,2.4,19,42,71,0,0.08,0.08,0,0.08,0.03,0.16,0.19,0.03,0.19,Matches,2023-2024
