Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
143,Vadim Demidov,no NOR,"DF,MF",Real Sociedad,23,1986,13,12,"1,094",12.2,0,1,1,0,0,0,2,0,0,0.08,0.08,0,0.08,Matches,2010-2011
144,Yves Desmarets,ht HAI,MF,La Coruña,31,1979,12,9,685,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2010-2011
145,Ángel Di María,ar ARG,"FW,MF",Real Madrid,22,1988,35,29,"2,297",25.5,6,10,16,6,0,0,6,0,0.24,0.39,0.63,0.24,0.63,Matches,2010-2011
146,Lassana Diarra,fr FRA,MF,Real Madrid,25,1985,26,19,"1,740",19.3,0,2,2,0,0,0,11,0,0,0.1,0.1,0,0.1,Matches,2010-2011
147,Mahamadou Diarra,ml MLI,MF,Real Madrid,29,1981,3,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
148,Cata Díaz,ar ARG,DF,Getafe,31,1979,35,35,"3,101",34.5,1,0,1,1,0,0,14,1,0.03,0,0.03,0.03,0.03,Matches,2010-2011
149,Ayoze Díaz Díaz,es ESP,"DF,MF",Mallorca,28,1982,19,19,"1,710",19,0,1,1,0,0,0,8,0,0,0.05,0.05,0,0.05,Matches,2010-2011
150,Carlos Diogo,uy URU,"DF,MF",Zaragoza,27,1983,33,33,"2,948",32.8,0,0,0,0,0,0,13,0,0,0,0,0,0,Matches,2010-2011
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2010-2011
151,Dioni,es ESP,FW,La Coruña,20,1989,4,1,130,1.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2010-2011
152,Papakouli Diop,sn SEN,MF,Racing Sant,24,1986,19,13,"1,060",11.8,0,1,1,0,0,0,5,0,0,0.08,0.08,0,0.08,Matches,2010-2011
153,Toni Doblas,es ESP,GK,Zaragoza,29,1980,18,17,"1,543",17.1,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches,2010-2011
154,Álvaro Domínguez,es ESP,DF,Atlético Madrid,21,1989,19,17,"1,622",18,2,0,2,2,0,0,5,0,0.11,0,0.11,0.11,0.11,Matches,2010-2011
155,Chori Domínguez,ar ARG,"FW,MF",Valencia,29,1981,9,3,325,3.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2010-2011
156,Juan Domínguez,es ESP,MF,La Coruña,20,1990,20,9,"1,009",11.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2010-2011
157,Raúl Domínguez,es ESP,GK,Sporting Gijón,23,1986,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
158,Giovani dos Santos,mx MEX,"FW,MF",Racing Sant,21,1989,16,9,958,10.6,5,1,6,5,0,0,1,0,0.47,0.09,0.56,0.47,0.56,Matches,2010-2011
159,Jonathan dos Santos,mx MEX,MF,Barcelona,20,1990,2,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
