Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
56,Paul Baysse,fr FRA,DF,Saint-Étienne,26,1988,9,8,626,7,1,0,1,1,0,0,1,0,0.14,0,0.14,0.14,0.14,Matches,2014-2015
57,Hervé Bazile,ht HAI,"FW,MF",Caen,24,1990,30,19,"1,740",19.3,7,3,10,7,0,0,4,0,0.36,0.16,0.52,0.36,0.52,Matches,2014-2015
58,Claudio Beauvue,gp GLP,"FW,MF",Guingamp,26,1988,36,34,"2,986",33.2,17,3,20,11,6,6,1,0,0.51,0.09,0.6,0.33,0.42,Matches,2014-2015
59,Henri Bedimo,cm CMR,DF,Lyon,30,1984,27,25,"2,155",23.9,0,4,4,0,0,0,4,0,0,0.17,0.17,0,0.17,Matches,2014-2015
60,Alejandro Bedoya,us USA,"FW,MF",Nantes,27,1987,28,20,"1,889",21,3,1,4,3,0,0,3,0,0.14,0.05,0.19,0.14,0.19,Matches,2014-2015
61,François Bellugou,fr FRA,"DF,MF",Lorient,27,1987,20,19,"1,713",19,2,0,2,2,0,0,4,0,0.11,0,0.11,0.11,0.11,Matches,2014-2015
62,Valentin Belon,fr FRA,GK,Lens,19,1995,6,5,518,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
63,Wissam Ben Yedder,fr FRA,"FW,MF",Toulouse,23,1990,36,34,"2,860",31.8,14,3,17,12,2,2,1,0,0.44,0.09,0.53,0.38,0.47,Matches,2014-2015
64,Fakhreddine Ben Youssef,tn TUN,"FW,MF",Metz,23,1991,6,2,239,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
65,Youssef Benali,ma MAR,"FW,MF",Toulouse,19,1995,3,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
66,Nicolas Benezet,fr FRA,"FW,MF",Evian,23,1991,11,7,541,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
67,Nicolas Benezet,fr FRA,"FW,MF",Caen,23,1991,12,5,575,6.4,4,1,5,4,0,0,0,0,0.63,0.16,0.78,0.63,0.78,Matches,2014-2015
68,Saïd Benrahma,dz ALG,"FW,MF",Nice,18,1995,3,3,196,2.2,1,2,3,1,0,0,0,0,0.46,0.92,1.38,0.46,1.38,Matches,2014-2015
69,Yassine Benzia,dz ALG,"FW,MF",Lyon,19,1994,10,3,323,3.6,2,0,2,2,0,0,0,0,0.56,0,0.56,0.56,0.56,Matches,2014-2015
70,Dimitar Berbatov,bg BUL,FW,Monaco,33,1981,26,18,"1,745",19.4,7,0,7,5,2,2,4,0,0.36,0,0.36,0.26,0.26,Matches,2014-2015
71,Franck Béria,fr FRA,DF,Lille,31,1983,17,16,"1,258",14,0,2,2,0,0,0,3,0,0,0.14,0.14,0,0.14,Matches,2014-2015
72,Kévin Bérigaud,fr FRA,FW,Montpellier,26,1988,33,23,"2,180",24.2,4,4,8,4,0,0,3,0,0.17,0.17,0.33,0.17,0.33,Matches,2014-2015
73,Vincent Bessat,fr FRA,"DF,MF",Nantes,28,1985,27,19,"1,615",17.9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,2014-2015
74,Nicki Bille Nielsen,dk DEN,FW,Evian,26,1988,19,7,807,9,1,0,1,1,0,0,2,0,0.11,0,0.11,0.11,0.11,Matches,2014-2015
75,Milan Biševac,rs SRB,DF,Lyon,30,1983,13,13,"1,080",12,0,1,1,0,0,0,4,0,0,0.08,0.08,0,0.08,Matches,2014-2015
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2014-2015
76,André Biyogo Poko,ga GAB,MF,Bordeaux,21,1993,16,11,898,10,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches,2014-2015
77,Nicolás Blandi,ar ARG,FW,Evian,24,1990,6,1,200,2.2,1,0,1,1,0,0,1,0,0.45,0,0.45,0.45,0.45,Matches,2014-2015
78,Alexis Blin,fr FRA,MF,Toulouse,17,1996,6,3,333,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2014-2015
79,Yann Bodiger,fr FRA,MF,Toulouse,19,1995,10,10,900,10,0,1,1,0,0,0,3,0,0,0.1,0.1,0,0.1,Matches,2014-2015
