S,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
110,Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,23,1997,3,1,95,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,2,7,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches,2020-2021
111,Iñigo Córdoba,es ESP,MF,Alavés,23,1997,7,3,216,2.4,0,0,0,0,0,0,0,0,0,0,0.1,0.2,2,7,15,0,0,0,0,0,0.02,0.05,0.07,0.02,0.07,Matches,2020-2021
112,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,25,1995,38,29,"2,393",26.6,9,8,17,9,0,0,3,0,7.8,7.7,5.7,13.4,64,84,186,0.34,0.3,0.64,0.34,0.64,0.29,0.21,0.51,0.29,0.51,Matches,2020-2021
113,Rober Correa,es ESP,DF,Eibar,27,1992,15,13,"1,136",12.6,0,2,2,0,0,0,3,0,0.3,0.3,1.9,2.1,15,41,26,0,0.16,0.16,0,0.16,0.02,0.15,0.17,0.02,0.17,Matches,2020-2021
114,Thierry Correia,pt POR,DF,Valencia,21,1999,29,25,"2,137",23.7,1,1,2,1,0,0,6,1,0.5,0.5,1.2,1.7,48,46,94,0.04,0.04,0.08,0.04,0.08,0.02,0.05,0.07,0.02,0.07,Matches,2020-2021
115,Diego Costa,es ESP,FW,Atlético Madrid,31,1988,7,2,208,2.3,2,0,2,1,1,1,1,0,1.4,0.6,0.5,1.1,3,6,21,0.87,0,0.87,0.43,0.43,0.6,0.21,0.82,0.26,0.48,Matches,2020-2021
116,Jaume Costa,es ESP,"DF,MF",Villarreal,32,1988,14,3,351,3.9,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,9,13,20,0,0.26,0.26,0,0.26,0.02,0.06,0.08,0.02,0.08,Matches,2020-2021
117,Thibaut Courtois,be BEL,GK,Real Madrid,28,1992,38,38,"3,420",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
118,Philippe Coutinho,br BRA,"MF,FW",Barcelona,28,1992,12,8,654,7.3,2,2,4,2,0,0,0,0,4,4,0.7,4.7,38,58,61,0.28,0.28,0.55,0.28,0.55,0.55,0.1,0.65,0.55,0.65,Matches,2020-2021
119,Juan Cruz Armada,es ESP,DF,Osasuna,28,1992,26,23,"1,962",21.8,0,0,0,0,0,0,4,0,0.1,0.1,0.5,0.5,19,58,41,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,2020-2021
120,Sergio Cubero Ezcurra,es ESP,MF,Eibar,20,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
121,Cucho,co COL,"FW,MF",Getafe,21,1999,23,18,"1,466",16.3,2,3,5,2,0,0,5,0,2.7,2.7,1.3,4,51,40,98,0.12,0.18,0.31,0.12,0.31,0.17,0.08,0.25,0.17,0.25,Matches,2020-2021
122,Marc Cucurella,es ESP,MF,Getafe,22,1998,37,37,"3,244",36,3,2,5,3,0,0,8,0,1.9,1.8,3.6,5.4,77,103,219,0.08,0.06,0.14,0.08,0.14,0.05,0.1,0.15,0.05,0.15,Matches,2020-2021
123,Patrick Cutrone,it ITA,FW,Valencia,22,1998,7,0,108,1.2,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,1,3,6,0,0,0,0,0,0.36,0.24,0.61,0.36,0.61,Matches,2020-2021
124,Moussa Dembélé,fr FRA,FW,Atlético Madrid,24,1996,5,0,100,1.1,0,0,0,0,0,0,0,0,1,1,0,1,4,1,12,0,0,0,0,0,0.92,0.02,0.94,0.92,0.94,Matches,2020-2021
125,Ousmane Dembélé,fr FRA,FW,Barcelona,23,1997,30,19,"1,774",19.7,6,3,9,6,0,0,2,0,5.6,5.6,4.2,9.8,140,87,288,0.3,0.15,0.46,0.3,0.46,0.28,0.21,0.5,0.28,0.5,Matches,2020-2021
