Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,UCL_progress,Season,,,,
26,gr  Olympiacos,6,1,0,5,2,10,-8,3,4.1,9.5,-5.4,-0.9,,"Koka, Mohamed Camara - 1",José Sá,Group Stage,2020-2021
27,tr  Başakşehir,6,1,0,5,7,18,-11,3,5.2,12.2,-7,-1.16,233,İrfan Kahveci - 3,Mert Günok,Group Stage,2020-2021
28,fr  Marseille,6,1,0,5,2,13,-11,3,5.9,10.1,-4.3,-0.71,,Dimitri Payet - 2,Steve Mandanda,Group Stage,2020-2021
29,dk  Midtjylland,6,0,2,4,4,13,-9,2,7.1,11.3,-4.2,-0.71,53,Alexander Scholz - 2,Jesper Hansen,Group Stage,2020-2021
30,fr  Rennes,6,0,1,5,3,11,-8,1,7.6,12.4,-4.8,-0.8,"1,658",Serhou Guirassy - 2,Alfred Gomis,Group Stage,2020-2021
31,ru  Zenit,6,0,1,5,4,13,-9,1,5.6,11.3,-5.7,-0.95,"14,990","Artem Dzyuba, Aleksandr Erokhin... - 1",Mikhail Kerzhakov,Group Stage,2020-2021
32,hu  Ferencváros,6,0,1,5,5,17,-12,1,5.6,12.7,-7.1,-1.19,"4,117",Franck Boli - 2,Dénes Dibusz,Group Stage,2020-2021
1,es  Real Madrid,13,9,0,4,29,14,15,27,21.6,20.1,1.5,0.11,"48,111",Karim Benzema - 15,Thibaut Courtois,Winner,2021-2022
,,,,,,,,,,,,,,,,,,2021-2022
2,eng  Liverpool,13,10,1,2,30,14,16,31,27.3,13.1,14.2,1.09,"54,958",Mohamed Salah - 8,Alisson,Runner up,2021-2022
,,,,,,,,,,,,,,,,,,2021-2022
3,eng  Manchester City,12,7,2,3,29,16,13,23,26.1,11.2,15,1.25,"49,295",Riyad Mahrez - 7,Ederson,Semi Finalist,2021-2022
4,es  Villarreal,12,5,3,4,20,16,4,18,19.4,18.6,0.9,0.07,"18,610",Arnaut Danjuma - 6,Gerónimo Rulli,Semi Finalist,2021-2022
,,,,,,,,,,,,,,,,,,2021-2022
5,de  Bayern Munich,10,7,2,1,31,7,24,23,26.3,7.7,18.6,1.86,"34,000",Robert Lewandowski - 13,Manuel Neuer,Quarter Finalist,2021-2022
6,eng  Chelsea,10,7,1,2,21,10,11,22,19,11,8,0.8,"39,076",Timo Werner - 4,Edouard Mendy,Quarter Finalist,2021-2022
7,pt  Benfica,10,3,4,3,14,17,-3,13,11.5,21.1,-9.6,-0.96,"38,593",Darwin Núñez - 6,Odysseas Vlachodimos,Quarter Finalist,2021-2022
8,es  Atlético Madrid,10,3,3,4,9,10,-1,12,12.2,13.2,-1.1,-0.11,"58,158",Antoine Griezmann - 4,Jan Oblak,Quarter Finalist,2021-2022
,,,,,,,,,,,,,,,,,,2021-2022
9,nl  Ajax,8,6,1,1,22,8,14,19,18.6,9.8,8.9,1.11,"40,181",Sébastien Haller - 11,Remko Pasveer,Round of 16,2021-2022
10,it  Juventus,8,5,1,2,11,10,1,16,13.3,10.6,2.7,0.34,"21,968",Paulo Dybala - 3,Wojciech Szczęsny,Round of 16,2021-2022
11,fr  Paris S-G,8,4,2,2,15,11,4,14,14.5,13.9,0.6,0.08,"44,911",Kylian Mbappé - 6,Gianluigi Donnarumma,Round of 16,2021-2022
12,it  Inter,8,4,1,3,9,7,2,13,12.8,7.8,5,0.62,"41,133",Edin Džeko - 3,Samir Handanović,Round of 16,2021-2022
13,eng  Manchester Utd,8,3,3,2,12,10,2,12,9.4,10.6,-1.2,-0.15,"72,893",Cristiano Ronaldo - 6,David de Gea,Round of 16,2021-2022
14,fr  Lille,8,3,2,3,8,8,0,11,10.5,7.5,2.9,0.37,"37,824","Jonathan David, Burak Yılmaz - 3",Ivo Grbić,Round of 16,2021-2022
15,at  RB Salzburg,8,3,2,3,10,14,-4,11,12.3,12.7,-0.5,-0.06,"20,157","Karim Adeyemi, Noah Okafor - 3",Philipp Köhn,Round of 16,2021-2022
16,pt  Sporting CP,8,3,1,4,14,17,-3,10,12.2,12.7,-0.5,-0.07,"37,672",Pedro Gonçalves - 4,Antonio Adán,Round of 16,2021-2022
,,,,,,,,,,,,,,,,,,2021-2022
17,de  Dortmund,6,3,0,3,10,11,-1,9,11.5,7.6,3.8,0.64,"31,607","Marco Reus, Donyell Malen... - 3",Gregor Kobel,Group Stage,2021-2022
18,de  RB Leipzig,6,2,1,3,15,14,1,7,13.1,10.5,2.6,0.43,"21,098",Christopher Nkunku - 7,Péter Gulácsi,Group Stage,2021-2022
19,md  Sheriff Tiraspol,6,2,1,3,7,11,-4,7,4.4,12.2,-7.9,-1.32,"4,466","Adama Traoré, Sébastien Thill - 2",Giorgos Athanasiadis,Group Stage,2021-2022
20,es  Barcelona,6,2,1,3,2,9,-7,7,6.5,9.5,-3,-0.51,"45,092","Gerard Piqué, Ansu Fati - 1",Marc-André ter Stegen,Group Stage,2021-2022
21,es  Sevilla,6,1,3,2,5,5,0,6,7.2,7.8,-0.6,-0.09,"25,468",Ivan Rakitić - 2,Yassine Bounou,Group Stage,2021-2022
22,it  Atalanta,6,1,3,2,12,13,-1,6,10.2,9.1,1.1,0.18,"11,556",Duván Zapata - 3,Juan Musso,Group Stage,2021-2022
23,ru  Zenit,6,1,2,3,10,10,0,5,9.8,8,1.9,0.31,"21,135","Claudinho, Sardar Azmoun - 2",Stanislav Kritsyuk,Group Stage,2021-2022
24,ch  Young Boys,6,1,2,3,7,12,-5,5,7.4,10.3,-3,-0.5,"24,333",Jordan Pefok - 2,"Guillaume Faivre, David von Ballmoos",Group Stage,2021-2022
25,de  Wolfsburg,6,1,2,3,5,10,-5,5,4.8,11.1,-6.2,-1.04,"11,463","Lukas Nmecha, Renato Steffen - 2",Koen Casteels,Group Stage,2021-2022
26,pt  Porto,6,1,2,3,4,11,-7,5,8,8.8,-0.8,-0.13,"31,493",Luis Díaz - 2,Diogo Costa,Group Stage,2021-2022
27,it  Milan,6,1,1,4,6,9,-3,4,5.8,10.2,-4.5,-0.74,"43,762","Rafael Leão, Junior Messias... - 1","Mike Maignan, Ciprian Tătărușanu",Group Stage,2021-2022
28,be  Club Brugge,6,1,1,4,6,20,-14,4,6.1,19.5,-13.4,-2.23,"25,511",Hans Vanaken - 3,Simon Mignolet,Group Stage,2021-2022
29,ua  Shakhtar,6,0,2,4,2,12,-10,2,6.8,10.1,-3.3,-0.55,"22,868",Fernando - 2,Anatolii Trubin,Group Stage,2021-2022
30,ua  Dynamo Kyiv,6,0,1,5,1,11,-10,1,4.3,9.2,-4.9,-0.82,"27,256",Denys Harmash - 1,Heorhiy Bushchan,Group Stage,2021-2022
31,se  Malmö,6,0,1,5,1,14,-13,1,1.6,15.1,-13.5,-2.25,"8,789",Søren Rieks - 1,Johan Dahlin,Group Stage,2021-2022
32,tr  Beşiktaş,6,0,0,6,3,19,-16,0,6.2,19.7,-13.5,-2.26,"19,031","Javi Montero, Cyle Larin... - 1",Ersin Destanoğlu,Group Stage,2021-2022
1,eng  Manchester City,13,8,5,0,32,5,27,29,26.5,10.5,16,1.23,"54,548",Erling Haaland - 12,Ederson,Winner,2022-2023
,,,,,,,,,,,,,,,,,,2022-2023
2,it  Inter,13,7,3,3,19,11,8,24,17.9,15.1,2.8,0.22,"71,415",Edin Džeko - 4,André Onana,Runner up,2022-2023
,,,,,,,,,,,,,,,,,,2022-2023
3,es  Real Madrid,12,8,2,2,26,13,13,26,22.3,15.9,6.4,0.53,"58,761",Vinicius Júnior - 7,Thibaut Courtois,Semi Finalist,2022-2023
4,it  Milan,12,5,3,4,15,11,4,18,16.5,14.6,1.9,0.16,"72,546",Olivier Giroud - 5,Mike Maignan,Semi Finalist,2022-2023
,,,,,,,,,,,,,,,,,,2022-2023
5,de  Bayern Munich,10,8,1,1,22,6,16,25,19.4,10.9,8.4,0.84,"75,000","Leroy Sané, Eric Maxim Choupo-Moting - 4",Yann Sommer,Quarter Finalist,2022-2023
6,it  Napoli,10,7,1,2,26,8,18,22,25.2,13,12.2,1.22,"49,133",Victor Osimhen - 5,Alex Meret,Quarter Finalist,2022-2023
7,pt  Benfica,10,6,3,1,26,13,13,21,19,10.9,8.1,0.81,"59,023",João Mário - 6,Odysseas Vlachodimos,Quarter Finalist,2022-2023
8,eng  Chelsea,10,5,1,4,12,9,3,16,16.2,10.7,5.5,0.55,"39,216",Raheem Sterling - 3,Kepa Arrizabalaga,Quarter Finalist,2022-2023
,,,,,,,,,,,,,,,,,,2022-2023
9,eng  Liverpool,8,5,0,3,19,12,7,15,14.7,10.6,4.1,0.51,"51,578",Mohamed Salah - 8,Alisson,Round of 16,2022-2023
10,fr  Paris S-G,8,4,2,2,16,10,6,14,10.8,10,0.8,0.1,"46,680",Kylian Mbappé - 7,Gianluigi Donnarumma,Round of 16,2022-2023
11,pt  Porto,8,4,1,3,12,8,4,13,15.2,11.4,3.9,0.48,"44,296",Mehdi Taremi - 5,Diogo Costa,Round of 16,2022-2023
12,de  RB Leipzig,8,4,1,3,14,17,-3,13,11.7,12.4,-0.8,-0.1,"44,319","André Silva, Christopher Nkunku - 3",Janis Blaswich,Round of 16,2022-2023
13,de  Dortmund,8,3,3,2,11,7,4,12,10.5,11.4,-0.9,-0.12,"78,516",Jude Bellingham - 4,Alexander Meyer,Round of 16,2022-2023
14,eng  Tottenham,8,3,3,2,8,7,1,12,10,8.8,1.2,0.15,"58,434","Son Heung-min, Richarlison - 2",Hugo Lloris,Round of 16,2022-2023
15,be  Club Brugge,8,3,2,3,8,11,-3,11,8,16.9,-8.9,-1.12,"24,296","Kamal Sowah, Ferran Jutglà - 2",Simon Mignolet,Round of 16,2022-2023
16,de  Eint Frankfurt,8,3,1,4,7,13,-6,10,8,12.9,-4.9,-0.61,"49,300",Daichi Kamada - 3,Kevin Trapp,Round of 16,2022-2023
,,,,,,,,,,,,,,,,,,2022-2023
17,es  Barcelona,6,2,1,3,12,12,0,7,9.9,9.3,0.6,0.1,"84,576",Robert Lewandowski - 5,Marc-André ter Stegen,Group Stage,2022-2023
18,pt  Sporting CP,6,2,1,3,8,9,-1,7,3.8,9.8,-6,-1.01,"39,923","Marcus Edwards, Arthur... - 2",Antonio Adán,Group Stage,2022-2023
19,fr  Marseille,6,2,0,4,8,8,0,6,8.6,5.1,3.5,0.59,"37,962","Alexis Sánchez, Chancel Mbemba... - 2",Pau López,Group Stage,2022-2023
20,ua  Shakhtar,6,1,3,2,8,10,-2,6,3.7,10.9,-7.1,-1.19,"25,257",Mykhailo Mudryk - 3,Anatolii Trubin,Group Stage,2022-2023
21,at  RB Salzburg,6,1,3,2,5,9,-4,6,8.3,6.9,1.4,0.23,"29,301",Noah Okafor - 3,Philipp Köhn,Group Stage,2022-2023
22,nl  Ajax,6,2,0,4,11,16,-5,6,8.3,12.2,-3.9,-0.65,"53,028",Mohammed Kudus - 4,Remko Pasveer,Group Stage,2022-2023
23,es  Atlético Madrid,6,1,2,3,5,9,-4,5,9.5,9.8,-0.3,-0.05,"58,797","Antoine Griezmann, Yannick Carrasco... - 1",Jan Oblak,Group Stage,2022-2023
24,de  Leverkusen,6,1,2,3,4,8,-4,5,9,7.5,1.5,0.26,"28,748",Moussa Diaby - 2,Lukáš Hrádecký,Group Stage,2022-2023
25,es  Sevilla,6,1,2,3,6,12,-6,5,5.4,10.2,-4.8,-0.8,"34,415",Youssef En-Nesyri - 2,Yassine Bounou,Group Stage,2022-2023
26,hr  Dinamo Zagreb,6,1,1,4,4,11,-7,4,4.2,12.5,-8.3,-1.39,"16,980",Mislav Oršić - 2,Dominik Livaković,Group Stage,2022-2023
27,it  Juventus,6,1,0,5,9,13,-4,3,8.6,10.6,-2,-0.33,"34,534","Adrien Rabiot, Arkadiusz Milik... - 2",Wojciech Szczęsny,Group Stage,2022-2023
28,dk  FC Copenhagen,6,0,3,3,1,12,-11,3,4.8,11.2,-6.4,-1.06,"32,444",Hákon Arnar Haraldsson - 1,Kamil Grabara,Group Stage,2022-2023
29,il  Maccabi Haifa,6,1,0,5,7,21,-14,3,6.4,9.6,-3.3,-0.55,"29,956","Tjaronn Chery, Omer Atzili... - 2",Josh Cohen,Group Stage,2022-2023
30,sct  Celtic,6,0,2,4,4,15,-11,2,9.2,10.9,-1.7,-0.29,"57,367",Jota - 2,Joe Hart,Group Stage,2022-2023
31,cz  Viktoria Plzeň,6,0,0,6,5,24,-19,0,5.5,15.1,-9.5,-1.59,"11,063",Tomáš Chorý - 2,Jindřich Staněk,Group Stage,2022-2023
32,sct  Rangers,6,0,0,6,2,22,-20,0,4.9,14.3,-9.4,-1.57,"49,062","Scott Arfield, James Tavernier - 1",Allan McGregor,Group Stage,2022-2023
1,es  Real Madrid,13,9,4,0,28,15,13,31,25.1,17.5,7.6,0.59,"72,777",Vinicius Júnior - 6,Andriy Lunin,Winner,2023-2024
,,,,,,,,,,,,,,,,,,2023-2024
2,de  Dortmund,13,7,3,3,17,11,6,24,17.2,23.6,-6.4,-0.49,"82,057",Niclas Füllkrug - 3,Gregor Kobel,Runner up,2023-2024
,,,,,,,,,,,,,,,,,,2023-2024
3,de  Bayern Munich,12,7,3,2,21,13,8,24,19,15,4,0.33,"75,000",Harry Kane - 8,Manuel Neuer,Semi Finalist,2023-2024
4,fr  Paris S-G,12,5,2,5,19,15,4,17,24.3,13.3,11,0.91,"46,686",Kylian Mbappé - 8,Gianluigi Donnarumma,Semi Finalist,2023-2024
,,,,,,,,,,,,,,,,,,2023-2024
5,eng  Manchester City,10,8,2,0,28,13,15,26,24.6,6.9,17.7,1.77,"51,298",Erling Haaland - 6,Ederson,Quarter Finalist,2023-2024
6,es  Atlético Madrid,10,6,2,2,23,13,10,20,16.7,12.7,3.9,0.39,"64,803",Antoine Griezmann - 6,Jan Oblak,Quarter Finalist,2023-2024
7,es  Barcelona,10,6,1,3,20,14,6,19,16.9,11.3,5.6,0.56,"45,308","Raphinha, Robert Lewandowski... - 3",Marc-André ter Stegen,Quarter Finalist,2023-2024
8,eng  Arsenal,10,5,2,3,19,8,11,17,13.4,8.5,4.9,0.49,"59,870","Leandro Trossard, Gabriel Jesus... - 4",David Raya,Quarter Finalist,2023-2024
,,,,,,,,,,,,,,,,,,2023-2024
9,pt  Porto,8,5,0,3,16,9,7,15,11.4,7.7,3.7,0.46,"47,944",Galeno - 5,Diogo Costa,Round of 16,2023-2024
10,it  Inter,8,4,3,1,10,7,3,15,16.2,8.6,7.6,0.94,"70,279","Alexis Sánchez, Marko Arnautović... - 2",Yann Sommer,Round of 16,2023-2024
11,de  RB Leipzig,8,4,1,3,14,12,2,13,12.2,10.7,1.5,0.19,"43,949",Loïs Openda - 4,Janis Blaswich,Round of 16,2023-2024
12,it  Lazio,8,4,1,3,8,10,-2,13,10.6,11.7,-1.1,-0.14,"47,701",Ciro Immobile - 4,Ivan Provedel,Round of 16,2023-2024
13,es  Real Sociedad,8,3,3,2,8,6,2,12,10.3,6.4,3.9,0.49,"36,790",Brais Méndez - 3,Álex Remiro,Round of 16,2023-2024
14,it  Napoli,8,3,2,3,12,13,-1,11,10.5,11.6,-1.1,-0.13,"45,367",Victor Osimhen - 2,Alex Meret,Round of 16,2023-2024
15,nl  PSV Eindhoven,8,2,4,2,9,13,-4,10,11,11,0,0,"34,069",Luuk de Jong - 3,Walter Benítez,Round of 16,2023-2024
16,dk  FC Copenhagen,8,2,2,4,10,14,-4,8,9.1,12.8,-3.7,-0.46,"32,166","Mohamed Elyounoussi, Lukas Lerager - 3",Kamil Grabara,Round of 16,2023-2024
,,,,,,,,,,,,,,,,,,2023-2024
17,ua  Shakhtar,6,3,0,3,10,12,-2,9,7.4,10.9,-3.5,-0.58,"47,695",Danylo Sikan - 4,Dmytro Riznyk,Group Stage,2023-2024
18,it  Milan,6,2,2,2,5,8,-3,8,9.6,7.7,1.9,0.32,"72,212",Samuel Chukwueze - 2,Mike Maignan,Group Stage,2023-2024
19,fr  Lens,6,2,2,2,6,11,-5,8,6.1,7.5,-1.4,-0.23,"37,543","Angelo Fulgini, Elye Wahi - 2",Brice Samba,Group Stage,2023-2024
20,nl  Feyenoord,6,2,0,4,9,10,-1,6,10.6,8,2.6,0.43,"44,010",Santiago Giménez - 2,Justin Bijlow,Group Stage,2023-2024
21,eng  Newcastle Utd,6,1,2,3,6,7,-1,5,5.9,12.3,-6.4,-1.07,"52,023","Dan Burn, Fabian Schär... - 1",Nick Pope,Group Stage,2023-2024
22,tr  Galatasaray,6,1,2,3,10,13,-3,5,9.8,10.2,-0.4,-0.07,"46,359","Mauro Icardi, Hakim Ziyech... - 2",Fernando Muslera,Group Stage,2023-2024
23,eng  Manchester Utd,6,1,1,4,12,15,-3,4,10.5,11.4,-0.9,-0.15,"73,175",Rasmus Højlund - 5,André Onana,Group Stage,2023-2024
24,pt  Benfica,6,1,1,4,7,11,-4,4,7.8,15.9,-8.1,-1.34,"56,621",João Mário - 3,Anatolii Trubin,Group Stage,2023-2024
25,at  RB Salzburg,6,1,1,4,4,8,-4,4,7.4,11.4,-3.9,-0.66,"28,477",Oscar Gloukh - 2,Alexander Schlager,Group Stage,2023-2024
26,ch  Young Boys,6,1,1,4,7,13,-6,4,6.4,15.3,-8.9,-1.48,"31,500",Meschak Elia - 2,Anthony Racioppi,Group Stage,2023-2024
27,pt  Braga,6,1,1,4,6,12,-6,4,8.3,10,-1.7,-0.28,"21,937","Bruma, Álvaro djaló - 2",Matheus,Group Stage,2023-2024
28,sct  Celtic,6,1,1,4,5,15,-10,4,4.9,11.7,-6.8,-1.13,"56,099","Kyogo Furuhashi, Luis Enrique Palma - 2",Joe Hart,Group Stage,2023-2024
29,be  Antwerp,6,1,0,5,6,17,-11,3,6.2,11.1,-4.9,-0.81,"13,522","Vincent Janssen, Arbnor Muja... - 1",Jean Butez,Group Stage,2023-2024
30,de  Union Berlin,6,0,2,4,6,10,-4,2,5.6,11.5,-5.9,-0.98,"72,976",Sheraldo Becker - 2,Frederik Rønnow,Group Stage,2023-2024
31,es  Sevilla,6,0,2,4,7,12,-5,2,5.9,10.8,-4.9,-0.81,"34,181","Sergio Ramos, Nemanja Gudelj... - 2",Marko Dmitrović,Group Stage,2023-2024
32,rs  Red Star,6,0,1,5,7,15,-8,1,8.7,14.8,-6.1,-1.02,"46,202",Osman Bukari - 2,Omri Glazer,Group Stage,2023-2024
1,fr  Paris S-G,17,11,1,5,38,15,23,34,35.6,18.2,17.4,1.03,"48,543",Ousmane Dembélé - 8,Gianluigi Donnarumma,Winner,2024-2025
,,,,,,,,,,,,,,,,,,2024-2025
2,it  Inter,15,10,3,2,26,16,10,33,24.3,20.2,4.1,0.27,"67,579",Lautaro Martínez - 9,Yann Sommer,Runner Up,2024-2025
,,,,,,,,,,,,,,,,,,2024-2025
3,eng  Arsenal,14,9,2,3,31,10,21,29,27,13.5,13.5,0.96,"59,866",Bukayo Saka - 6,David Raya,Semi Finalist,2024-2025
4,es  Barcelona,14,9,2,3,43,24,19,29,32.2,21.2,11,0.79,"47,377",Raphinha - 13,Wojciech Szczęsny,Semi Finalist,2024-2025
,,,,,,,,,,,,,,,,,,2024-2025
5,de  Bayern Munich,14,8,2,4,31,18,13,26,33.6,14.4,19.2,1.37,"75,000",Harry Kane - 11,Manuel Neuer,Quarter Finalist,2024-2025
6,de  Dortmund,14,8,2,4,31,19,12,26,27.8,19.1,8.6,0.62,"81,213",Serhou Guirassy - 13,Gregor Kobel,Quarter Finalist,2024-2025
7,eng  Aston Villa,12,8,1,3,23,12,11,25,18.8,13.9,4.9,0.41,"41,875",Morgan Rogers - 4,Emiliano Martínez,Quarter Finalist,2024-2025
8,es  Real Madrid,14,8,0,6,29,22,7,24,28,22.9,5.1,0.37,"75,220",Vinicius Júnior - 8,Thibaut Courtois,Quarter Finalist,2024-2025
,,,,,,,,,,,,,,,,,,2024-2025
9,eng  Liverpool,10,8,0,2,18,6,12,24,20.7,11.3,9.3,0.93,"59,740","Mohamed Salah, Cody Gakpo... - 3",Alisson,Round of 16,2024-2025
10,es  Atlético Madrid,10,7,0,3,22,14,8,21,14.5,13,1.6,0.16,"62,862",Julián Álvarez - 7,Jan Oblak,Round of 16,2024-2025
11,nl  PSV Eindhoven,12,5,3,4,23,24,-1,18,19.3,20.6,-1.3,-0.11,"34,717","Ivan Perišić, Malik Tillman... - 3",Walter Benítez,Round of 16,2024-2025
12,fr  Lille,10,5,2,3,19,13,6,17,11.5,16.8,-5.2,-0.52,"37,479",Jonathan David - 7,Lucas Chevalier,Round of 16,2024-2025
13,pt  Benfica,12,5,2,5,21,19,2,17,23.6,15.6,8,0.67,"61,801",Vangelis Pavlidis - 7,Anatolii Trubin,Round of 16,2024-2025
14,nl  Feyenoord,12,5,2,5,21,26,-5,17,13.3,20.4,-7.2,-0.6,"43,661",Santiago Giménez - 5,Timon Wellenreuther,Round of 16,2024-2025
15,be  Club Brugge,12,5,2,5,13,19,-6,17,11.5,16.4,-4.9,-0.41,"23,919","Ferran Jutglà, Chemsdine Talbi - 2",Simon Mignolet,Round of 16,2024-2025
16,de  Leverkusen,10,5,1,4,15,12,3,16,15.1,13,2.1,0.21,"30,010",Florian Wirtz - 6,Matej Kovar,Round of 16,2024-2025
,,,,,,,,,,,,,,,,,,2024-2025
17,it  Milan,10,5,1,4,15,13,2,16,13.8,13.8,0.1,0.01,"58,594",Christian Pulisic - 4,Mike Maignan,Round of 16,2024-2025
18,it  Atalanta,10,4,3,3,22,11,11,15,24.5,10.9,13.6,1.36,"21,727",Ademola Lookman - 5,Marco Carnesecchi,Round of 16,2024-2025
19,it  Juventus,10,4,3,3,12,11,1,15,11.8,17.2,-5.4,-0.54,"40,780",Dušan Vlahović - 4,Michele Di Gregorio,Round of 16,2024-2025
20,fr  Monaco,10,4,2,4,16,17,-1,14,13.3,16.9,-3.6,-0.36,"12,427",Takumi Minamino - 3,Radosław Majecki,Round of 16,2024-2025
21,sct  Celtic,10,3,4,3,15,17,-2,13,14.5,16.3,-1.8,-0.18,"57,157",Daizen Maeda - 4,Kasper Schmeichel,Round of 16,2024-2025
22,fr  Brest,10,4,1,5,10,21,-11,13,11.4,18.3,-6.9,-0.69,"15,408",Abdallah Sima - 3,Marco Bizot,Round of 16,2024-2025
23,pt  Sporting CP,10,3,3,4,13,15,-2,12,12.8,17.9,-5.1,-0.51,"42,747",Viktor Gyökeres - 6,Franco Israel,Round of 16,2024-2025
24,eng  Manchester City,10,3,2,5,21,20,1,11,21,16.1,5,0.5,"50,273",Erling Haaland - 8,Ederson,Round of 16,2024-2025
,,,,,,,,,,,,,,,,,,2024-2025
25,hr  Dinamo Zagreb,8,3,2,3,12,19,-7,11,7,16.4,-9.3,-1.17,"16,714",Sandro Kulenović - 3,Ivan Nevistić,Group Stage,2024-2025
26,de  Stuttgart,8,3,1,4,13,17,-4,10,14.1,11.1,3,0.38,"60,000","Jamie Leweling, Enzo Millot - 2",Alexander Nübel,Group Stage,2024-2025
27,ua  Shakhtar,8,2,1,5,8,16,-8,7,8.3,15.5,-7.2,-0.9,"27,854","Oleksandr Zubkov, Heorhiy Sudakov... - 2",Dmytro Riznyk,Group Stage,2024-2025
28,it  Bologna,8,1,3,4,4,9,-5,6,8.1,9.9,-1.8,-0.22,"23,859","Jhon Lucumí, Thijs Dallinga... - 1",Łukasz Skorupski,Group Stage,2024-2025
29,rs  Red Star,8,2,0,6,13,22,-9,6,9.3,14.9,-5.5,-0.69,"43,462",Nemanja Radonjić - 3,"Omri Glazer, Ivan Guteša",Group Stage,2024-2025
30,at  Sturm Graz,8,2,0,6,5,14,-9,6,6.2,16.2,-10,-1.25,"23,812",Mika Biereth - 2,Kjell Scherpen,Group Stage,2024-2025
31,cz  Sparta Prague,8,1,1,6,7,21,-14,4,6.3,13.3,-7,-0.88,"17,797","Kaan Kairinen, Victor Olatunji - 2",Peter Vindahl Jensen,Group Stage,2024-2025
32,de  RB Leipzig,8,1,0,7,8,15,-7,3,12.3,12.7,-0.4,-0.05,"41,085",Benjamin Šeško - 4,Péter Gulácsi,Group Stage,2024-2025
33,es  Girona,8,1,0,7,5,13,-8,3,9.6,12.6,-3,-0.38,"9,072","Juanpe, David López... - 1",Paulo Gazzaniga,Group Stage,2024-2025
34,at  RB Salzburg,8,1,0,7,5,27,-22,3,6.6,19.4,-12.7,-1.59,"22,229",Karim Konaté - 2,Janis Blaswich,Group Stage,2024-2025
35,sk  Slovan Bratislava,8,0,0,8,7,27,-20,0,7,21.6,-14.7,-1.83,"20,013",Dávid Strelec - 2,Dominik Takáč,Group Stage,2024-2025
36,ch  Young Boys,8,0,0,8,3,24,-21,0,5.6,19.1,-13.4,-1.68,"31,500","Silvère Ganvoula M'Boussy, Kastriot Imeri... - 1","Marvin Keller, David von Ballmoos",Group Stage,2024-2025
