Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,UCL_progress,Season,,,,
26,tr  Trabzonspor,8,1,5,2,4,8,-4,8,,"Halil Altıntop, Ondřej Čelůstka... - 1",Tolga Zengin,Group Stage,2011-2012,,,,
27,be  Genk,10,1,5,4,8,21,-13,8,,Jelle Vossen - 2,László Köteles,Group Stage,2011-2012,,,,
28,fr  Lille,6,1,3,2,6,6,0,6,,Moussa Sow - 3,Mickaël Landreau,Group Stage,2011-2012,,,,
29,ua  Shakhtar,6,1,2,3,6,8,-2,5,,Luiz Adriano - 3,Oleksandr Rybka,Group Stage,2011-2012,,,,
30,de  Dortmund,6,1,1,4,6,12,-6,4,,"Jakub Błaszczykowski, Shinji Kagawa... - 1",Roman Weidenfeller,Group Stage,2011-2012,,,,
31,es  Villarreal,8,0,1,7,5,15,-10,1,,"Cani, Jonathan de Guzmán - 1",Diego López,Group Stage,2011-2012,,,,
32,ro  Oțelul Galați,6,0,0,6,3,11,-8,0,,"Liviu Antal, Gabriel Giurgiu... - 1",Branko Grahovac,Group Stage,2011-2012,,,,
1,de  Bayern Munich,13,10,2,1,31,11,20,32,,Thomas Müller - 8,Manuel Neuer,Winner,2012-2013,,,,
,,,,,,,,,,,,,,2012-2013,,,,
2,de  Dortmund,13,5,6,2,24,14,10,21,,Robert Lewandowski - 10,Roman Weidenfeller,Runner up,2012-2013,,,,
,,,,,,,,,,,,,,2012-2013,,,,
3,es  Real Madrid,12,5,4,3,26,18,8,19,,Cristiano Ronaldo - 12,Diego López,Semi Finalist,2012-2013,,,,
4,es  Barcelona,12,4,5,3,18,17,1,17,,Lionel Messi - 8,Víctor Valdés,Semi Finalist,2012-2013,,,,
,,,,,,,,,,,,,,2012-2013,,,,
5,fr  Paris S-G,10,6,3,1,20,8,12,21,,Ezequiel Lavezzi - 5,Salvatore Sirigu,Quarter Finalist,2012-2013,,,,
6,es  Málaga,12,4,6,2,18,9,9,18,,Eliseu - 4,Willy Caballero,Quarter Finalist,2012-2013,,,,
7,it  Juventus,10,4,5,1,17,8,9,17,,Fabio Quagliarella - 4,Gianluigi Buffon,Quarter Finalist,2012-2013,,,,
8,tr  Galatasaray,10,4,3,3,14,14,0,15,,Burak Yılmaz - 8,Fernando Muslera,Quarter Finalist,2012-2013,,,,
,,,,,,,,,,,,,,2012-2013,,,,
9,sct  Celtic,12,6,2,4,17,14,3,20,,Georgios Samaras - 3,Fraser Forster,Round of 16,2012-2013,,,,
10,pt  Porto,8,5,1,2,11,6,5,16,,Jackson Martínez - 3,Helton Arruda,Round of 16,2012-2013,,,,
11,es  Valencia,8,4,2,2,14,8,6,14,,Jonas - 5,Vicente Guaita,Round of 16,2012-2013,,,,
12,de  Schalke 04,8,3,5,0,13,10,3,14,,Klaas-Jan Huntelaar - 4,Lars Unnerstall,Round of 16,2012-2013,,,,
13,eng  Manchester Utd,8,4,2,2,11,9,2,14,,"Javier Hernández, Robin van Persie - 3",David de Gea,Round of 16,2012-2013,,,,
14,eng  Arsenal,8,4,1,3,13,11,2,13,,Lukas Podolski - 4,Vito Mannone,Round of 16,2012-2013,,,,
15,ua  Shakhtar,8,3,2,3,14,13,1,11,,Willian - 4,Andriy Pyatov,Round of 16,2012-2013,,,,
16,it  Milan,8,3,2,3,9,10,-1,11,,"Stephan El Shaarawy, Alexandre Pato - 2",Christian Abbiati,Round of 16,2012-2013,,,,
,,,,,,,,,,,,,,2012-2013,,,,
17,ro  CFR Cluj,10,6,2,2,15,9,6,20,,Rui Pedro - 3,Mário Felgueiras,Group Stage,2012-2013,,,,
18,by  BATE Borisov,12,5,3,4,18,19,-1,18,,"Vitali Rodionov, Renan Bardini Bressan - 2",Andrey Harbunow,Group Stage,2012-2013,,,,
19,ua  Dynamo Kyiv,10,4,3,3,13,14,-1,15,,Oleh Husyev - 2,Maksym Koval,Group Stage,2012-2013,,,,
20,hr  Dinamo Zagreb,12,3,4,5,13,18,-5,13,,Ivan Krstanović - 1,Ivan Kelava,Group Stage,2012-2013,,,,
21,be  Anderlecht,10,3,3,4,18,11,7,12,,Dieumerci Mbokani - 2,Silvio Proto,Group Stage,2012-2013,,,,
22,eng  Chelsea,6,3,1,2,16,10,6,10,,Oscar - 5,Petr Čech,Group Stage,2012-2013,,,,
23,gr  Olympiacos,6,3,0,3,9,9,0,9,,Kostas Mitroglou - 4,Roy Carroll,Group Stage,2012-2013,,,,
24,pt  Benfica,6,2,2,2,5,5,0,8,,Óscar Cardozo - 2,Artur Moraes,Group Stage,2012-2013,,,,
