Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
49,Alejandro Balde,es ESP,DF,es Barcelona,22-000,2003,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Matches
50,Leonardo Balerdi,ar ARG,DF,fr Marseille,26-265,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
51,Folarin Balogun,us USA,FW,fr Monaco,24-107,2001,2,2,143,1.6,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,3,1,14,0,0,0,0,0,0.18,0,0.18,0.18,0.18,Matches
52,Aladji Bamba,fr FRA,MF,fr Monaco,19-096,2006,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Matches
53,Bradley Barcola,fr FRA,FW,fr Paris S-G,23-046,2002,2,2,169,1.9,0,1,1,0,0,1,0,0,1.5,0.7,0.3,1,10,9,15,0,0.53,0.53,0,0.53,0.8,0.14,0.94,0.38,0.52,Matches
54,Abdülkerim Bardakcı,tr TUR,DF,tr Galatasaray,31-041,1994,1,1,90,1,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
55,Nicolò Barella,it ITA,MF,it Inter,28-253,1997,2,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,7,5,0,0,0,0,0,0,0.12,0.12,0,0.12,Matches
56,Harvey Barnes,eng ENG,"FW,MF",eng Newcastle Utd,27-313,1997,2,1,80,0.9,1,0,1,1,0,0,0,0,0.7,0.7,0,0.7,6,3,10,1.13,0,1.13,1.13,1.13,0.78,0,0.78,0.78,0.78,Matches
57,Leandro Barreiro Martins,lu LUX,MF,pt Benfica,25-288,2000,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,Matches
58,Enzo Barrenechea,ar ARG,MF,pt Benfica,24-149,2001,2,2,180,2,1,0,1,1,0,0,1,0,0.3,0.3,0,0.3,1,12,1,0.5,0,0.5,0.5,0.5,0.17,0,0.17,0.17,0.17,Matches
59,Pablo Barrios,es ESP,MF,es Atlético Madrid,22-125,2003,2,2,164,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,10,2,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
60,Daniel Bassi,no NOR,FW,no Bodø/Glimt,,,1,0,45,0.5,1,0,1,1,0,0,0,0,0.9,0.9,0,0.9,1,1,0,2,0,2,2,2,1.79,0,1.79,1.79,1.79,Matches
61,Mons Bassouamina,cg CGO,FW,cy Pafos FC,27-143,1998,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
62,Alessandro Bastoni,it ITA,DF,it Inter,26-188,1999,2,2,180,2,0,1,1,0,0,0,0,0,0.1,0.1,1.4,1.5,4,10,2,0,0.5,0.5,0,0.5,0.05,0.7,0.75,0.05,0.75,Matches
63,Michy Batshuayi,be BEL,FW,de Eint Frankfurt,32-016,1993,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
64,Toral Bayramov,az AZE,"DF,FW",az Qarabağ,24-237,2001,2,0,27,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
65,Maximilian Beier,de GER,MF,de Dortmund,23-001,2002,2,1,98,1.1,0,1,1,0,0,0,1,0,0.1,0.1,0.1,0.2,2,1,7,0,0.92,0.92,0,0.92,0.13,0.07,0.2,0.13,0.2,Matches
66,Raoul Bellanova,it ITA,DF,it Atalanta,25-154,2000,2,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0.3,0.3,5,5,8,0,0,0,0,0,0,0.19,0.19,0,0.19,Matches
67,Jobe Bellingham,eng ENG,MF,de Dortmund,20-025,2005,2,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
68,Jude Bellingham,eng ENG,MF,es Real Madrid,22-111,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,5,1,0,0,0,0,0,0.85,0.31,1.16,0.85,1.16,Matches
69,Eliesse Ben Seghir,ma MAR,MF,de Leverkusen,20-244,2005,2,1,84,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,3,8,0,0,0,0,0,0.17,0,0.17,0.17,0.17,Matches
70,Ramy Bensebaini,dz ALG,DF,de Dortmund,30-185,1995,2,2,180,2,1,0,1,0,1,1,0,0,0.8,0,0,0,0,12,0,0.5,0,0.5,0,0,0.39,0,0.39,0,0,Matches
71,Rodrigo Bentancur,uy URU,MF,eng Tottenham,28-115,1997,2,2,171,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,6,1,0,0,0,0,0,0.07,0.05,0.12,0.07,0.12,Matches
72,Yuri Berchiche,es ESP,DF,es Athletic Club,35-250,1990,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0.11,0,0.11,0.11,0.11,Matches
73,Álex Berenguer,es ESP,FW,es Athletic Club,30-106,1995,1,1,90,1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,5,6,0,0,0,0,0,0.09,0.07,0.17,0.09,0.17,Matches
74,Patrick Berg,no NOR,MF,no Bodø/Glimt,27-328,1997,2,2,180,2,0,0,0,0,0,0,2,0,0,0,0.1,0.1,3,8,5,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,Matches
75,Steven Berghuis,nl NED,FW,nl Ajax,33-303,1991,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
76,Lucas Bergvall,se SWE,MF,eng Tottenham,19-258,2006,2,2,148,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,7,5,5,0,0,0,0,0,0.07,0.37,0.44,0.07,0.44,Matches
77,Marc Bernal,es ESP,MF,es Barcelona,18-145,2007,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Lorenzo Bernasconi,it ITA,DF,it Atalanta,21-336,2003,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0.3,0.4,4,5,7,0,0,0,0,0,0.02,0.16,0.18,0.02,0.18,Matches
79,Sam Beukema,nl NED,DF,it Napoli,26-335,1998,2,2,180,2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,10,0,0,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches
80,Giulian Biancone,fr FRA,DF,gr Olympiacos,25-201,2000,2,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
81,Pedro Bicalho,br BRA,MF,az Qarabağ,24-178,2001,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
82,Mika Biereth,dk DEN,FW,fr Monaco,22-252,2003,2,1,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,9,0,0,0,0,0,0.04,0.05,0.09,0.04,0.09,Matches
83,Tom Bischof,de GER,"DF,MF",de Bayern Munich,20-112,2005,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0.23,0.23,0,0.23,Matches
84,Myron Boadu,nl NED,FW,nl PSV Eindhoven,24-277,2001,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
85,Oscar Bobb,no NOR,FW,eng Manchester City,22-098,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
86,Sacha Boey,fr FRA,DF,de Bayern Munich,25-035,2000,2,0,67,0.7,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,5,3,0,0,0,0,0,0,0.18,0.18,0,0.18,Matches
87,Adama Boiro,es ESP,DF,es Athletic Club,23-118,2002,1,1,67,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches
88,Ruben van Bommel,nl NED,"MF,FW",nl PSV Eindhoven,21-076,2004,1,1,90,1,1,0,1,1,0,0,0,0,0.4,0.4,0.5,0.9,4,1,8,1,0,1,1,1,0.36,0.54,0.9,0.36,0.9,Matches
89,Ange-Yoan Bonny,fr FRA,FW,it Inter,21-358,2003,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0.1,0.1,0,0.1,Matches
90,Kady Borges,br BRA,MF,az Qarabağ,29-169,1996,2,2,180,2,0,0,0,0,0,0,0,0,0.1,0.1,1,1,2,11,3,0,0,0,0,0,0.03,0.48,0.51,0.03,0.51,Matches
91,Sven Botman,nl NED,DF,eng Newcastle Utd,25-279,2000,2,1,105,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
92,Sofiane Boufal,ma MAR,MF,be Union SG,32-031,1993,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.16,0,0.16,0.16,0.16,Matches
93,Conor Bradley,nir NIR,DF,eng Liverpool,22-101,2003,2,0,62,0.7,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,1,9,5,0,0,0,0,0,0.11,0,0.11,0.11,0.11,Matches
94,Julian Brandt,de GER,MF,de Dortmund,29-169,1996,2,0,48,0.5,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.4,3,3,2,1.87,0,1.87,1.87,1.87,0.3,0.4,0.7,0.3,0.7,Matches
95,Gleison Bremer,br BRA,DF,it Juventus,28-214,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches
96,Marco Brescianini,it ITA,"MF,FW",it Atalanta,25-271,2000,2,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,2,0,0,0,0,0,0,0.19,0.28,0.47,0.19,0.47,Matches
97,Nathaniel Brown,de GER,DF,de Eint Frankfurt,22-124,2003,2,2,160,1.8,0,1,1,0,0,0,1,0,0,0,0.1,0.2,2,6,5,0,0.56,0.56,0,0.56,0.02,0.07,0.09,0.02,0.09,Matches
