UCL_progress,Squad,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes,Season
1,fr  Paris S-G,17,11,1,5,38,15,23,34,Ousmane Dembélé - 8,Gianluigi Donnarumma,→ Champions League via playoff win,2024-2025
2,it  Inter,15,10,3,2,26,16,10,33,Lautaro Martínez - 9,Yann Sommer,,2024-2025
SF,eng  Arsenal,14,9,2,3,31,10,21,29,Bukayo Saka - 6,David Raya,,2024-2025
SF,es  Barcelona,14,9,2,3,43,24,19,29,Raphinha - 13,Wojciech Szczęsny,,2024-2025
QF,de  Bayern Munich,14,8,2,4,31,18,13,26,Harry Kane - 11,Manuel Neuer,,2024-2025
QF,de  Dortmund,14,8,2,4,31,19,12,26,Serhou Guirassy - 13,Gregor Kobel,,2024-2025
QF,eng  Aston Villa,12,8,1,3,23,12,11,25,Morgan Rogers - 4,Emiliano Martínez,,2024-2025
QF,es  Real Madrid,14,8,0,6,29,22,7,24,Vinicius Júnior - 8,Thibaut Courtois,,2024-2025
R16,eng  Liverpool,10,8,0,2,18,6,12,24,"Mohamed Salah, Cody Gakpo... - 3",Alisson,,2024-2025
R16,es  Atlético Madrid,10,7,0,3,22,14,8,21,Julián Álvarez - 7,Jan Oblak,,2024-2025
R16,nl  PSV Eindhoven,12,5,3,4,23,24,-1,18,"Ivan Perišić, Malik Tillman... - 3",Walter Benítez,,2024-2025
R16,fr  Lille,10,5,2,3,19,13,6,17,Jonathan David - 7,Lucas Chevalier,,2024-2025
R16,pt  Benfica,12,5,2,5,21,19,2,17,Vangelis Pavlidis - 7,Anatolii Trubin,,2024-2025
R16,nl  Feyenoord,12,5,2,5,21,26,-5,17,Santiago Giménez - 5,Timon Wellenreuther,,2024-2025
R16,be  Club Brugge,12,5,2,5,13,19,-6,17,"Ferran Jutglà, Chemsdine Talbi - 2",Simon Mignolet,,2024-2025
R16,de  Leverkusen,10,5,1,4,15,12,3,16,Florian Wirtz - 6,Matej Kovar,,2024-2025
KO,it  Milan,10,5,1,4,15,13,2,16,Christian Pulisic - 4,Mike Maignan,,2024-2025
KO,it  Atalanta,10,4,3,3,22,11,11,15,Ademola Lookman - 5,Marco Carnesecchi,,2024-2025
KO,it  Juventus,10,4,3,3,12,11,1,15,Dušan Vlahović - 4,Michele Di Gregorio,,2024-2025
KO,fr  Monaco,10,4,2,4,16,17,-1,14,Takumi Minamino - 3,Radosław Majecki,,2024-2025
KO,sct  Celtic,10,3,4,3,15,17,-2,13,Daizen Maeda - 4,Kasper Schmeichel,,2024-2025
KO,fr  Brest,10,4,1,5,10,21,-11,13,Abdallah Sima - 3,Marco Bizot,,2024-2025
KO,pt  Sporting CP,10,3,3,4,13,15,-2,12,Viktor Gyökeres - 6,Franco Israel,,2024-2025
KO,eng  Manchester City,10,3,2,5,21,20,1,11,Erling Haaland - 8,Ederson,,2024-2025
Lg,hr  Dinamo Zagreb,8,3,2,3,12,19,-7,11,Sandro Kulenović - 3,Ivan Nevistić,,2024-2025
Lg,de  Stuttgart,8,3,1,4,13,17,-4,10,"Jamie Leweling, Enzo Millot - 2",Alexander Nübel,,2024-2025
Lg,ua  Shakhtar,8,2,1,5,8,16,-8,7,"Oleksandr Zubkov, Heorhiy Sudakov... - 2",Dmytro Riznyk,,2024-2025
Lg,it  Bologna,8,1,3,4,4,9,-5,6,"Jhon Lucumí, Thijs Dallinga... - 1",Łukasz Skorupski,,2024-2025
Lg,rs  Red Star,8,2,0,6,13,22,-9,6,Nemanja Radonjić - 3,"Omri Glazer, Ivan Guteša",,2024-2025
Lg,at  Sturm Graz,8,2,0,6,5,14,-9,6,Mika Biereth - 2,Kjell Scherpen,,2024-2025
Lg,cz  Sparta Prague,8,1,1,6,7,21,-14,4,"Kaan Kairinen, Victor Olatunji - 2",Peter Vindahl Jensen,,2024-2025
Lg,de  RB Leipzig,8,1,0,7,8,15,-7,3,Benjamin Šeško - 4,Péter Gulácsi,,2024-2025
Lg,es  Girona,8,1,0,7,5,13,-8,3,"Juanpe, David López... - 1",Paulo Gazzaniga,,2024-2025
Lg,at  RB Salzburg,8,1,0,7,5,27,-22,3,Karim Konaté - 2,Janis Blaswich,,2024-2025
Lg,sk  Slovan Bratislava,8,0,0,8,7,27,-20,0,Dávid Strelec - 2,Dominik Takáč,,2024-2025
Lg,ch  Young Boys,8,0,0,8,3,24,-21,0,"Silvère Ganvoula M'Boussy, Kastriot Imeri... - 1","Marvin Keller, David von Ballmoos",,2024-2025
