UCL_progress,Squad,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes,Season
GR,sct  Celtic,12,3,3,6,12,16,-4,12,"Beram Kayal, James Forrest... - 1",Fraser Forster,,2013-2014
GR,pt  Benfica,6,3,1,2,8,8,0,10,"Filip Đuričić, Nicolás Gaitán... - 1",Artur Moraes,,2013-2014
GR,ua  Shakhtar,6,2,2,2,7,6,1,8,Alex Teixeira - 3,Andriy Pyatov,,2013-2014
GR,nl  Ajax,6,2,2,2,5,8,-3,8,Lasse Schöne - 2,Jasper Cillessen,,2013-2014
GR,it  Juventus,6,1,3,2,9,9,0,6,Arturo Vidal - 5,Gianluigi Buffon,,2013-2014
GR,pt  Porto,6,1,2,3,4,7,-3,5,"Lucho González, Jackson Martínez - 2",Helton Arruda,,2013-2014
GR,es  Real Sociedad,8,1,2,5,5,10,-5,5,Carlos Vela - 1,Claudio Bravo,,2013-2014
GR,dk  FC Copenhagen,6,1,1,4,4,13,-9,4,"Nicolai Jørgensen, Daniel Braaten... - 1",Johan Wiland,,2013-2014
GR,ru  CSKA Moscow,6,1,0,5,8,17,-9,3,"Keisuke Honda, Seydou Doumbia... - 2",Igor Akinfeev,,2013-2014
GR,be  Anderlecht,6,0,1,5,4,17,-13,1,"Massimo Bruno, Sacha Kljestan... - 1","Thomas Kaminski, Silvio Proto",,2013-2014
GR,fr  Marseille,6,0,0,6,5,14,-9,0,André Ayew - 2,Steve Mandanda,,2013-2014
W,es  Barcelona,13,11,0,2,31,11,20,33,"Lionel Messi, Neymar - 10",Marc-André ter Stegen,→ Champions League via playoff win,2014-2015
F,it  Juventus,13,7,3,3,17,10,7,24,Carlos Tevez - 7,Gianluigi Buffon,,2014-2015
SF,es  Real Madrid,12,8,2,2,24,9,15,26,Cristiano Ronaldo - 10,Iker Casillas,,2014-2015
SF,de  Bayern Munich,12,8,1,3,33,13,20,25,Thomas Müller - 7,Manuel Neuer,,2014-2015
QF,pt  Porto,12,8,3,1,28,12,16,27,Jackson Martínez - 7,Fabiano,,2014-2015
QF,es  Atlético Madrid,10,5,2,3,15,5,10,17,Mario Mandžukić - 5,Miguel Ángel Moyá,,2014-2015
QF,fr  Monaco,10,4,3,3,7,5,2,15,"Aymen Abdennour, Dimitar Berbatov... - 1",Danijel Subašić,,2014-2015
QF,fr  Paris S-G,10,4,3,3,14,15,-1,15,Edinson Cavani - 6,Salvatore Sirigu,,2014-2015
R16,eng  Arsenal,10,6,2,2,19,11,8,20,"Danny Welbeck, Alexis Sánchez... - 3",Wojciech Szczęsny,,2014-2015
R16,de  Leverkusen,10,6,1,3,15,7,8,19,Son Heung-min - 3,Bernd Leno,,2014-2015
R16,eng  Chelsea,8,4,4,0,20,6,14,16,Eden Hazard - 3,Thibaut Courtois,,2014-2015
R16,de  Dortmund,8,4,1,3,15,9,6,13,Ciro Immobile - 4,Roman Weidenfeller,,2014-2015
R16,de  Schalke 04,8,3,2,3,13,19,-6,11,Klaas-Jan Huntelaar - 5,Ralf Fährmann,,2014-2015
R16,ua  Shakhtar,8,2,4,2,15,11,4,10,Luiz Adriano - 9,Andriy Pyatov,,2014-2015
R16,eng  Manchester City,8,2,2,4,10,11,-1,8,Sergio Agüero - 6,Joe Hart,,2014-2015
R16,ch  Basel,8,2,2,4,8,13,-5,8,Derlis González - 3,Tomáš Vaclík,,2014-2015
GR,ru  Zenit,10,5,1,4,11,7,4,16,"Danny, Hulk... - 1",Yuri Lodygin,,2014-2015
GR,si  NK Maribor,12,3,6,3,11,16,-5,15,"Damjan Bohar, Agim Ibraimi... - 1",Jasmin Handanović,,2014-2015
GR,bg  Ludogorets,12,3,4,5,13,18,-5,13,Dani Abalo - 2,Vladislav Stoyanov,,2014-2015
GR,se  Malmö,12,4,1,7,13,21,-8,13,Markus Rosenberg - 3,Robin Olsen,,2014-2015
GR,by  BATE Borisov,12,3,3,6,10,28,-18,12,"Alyaksandr Karnitsky, Dzyanis Palyakow - 1",Sergei Chernik,,2014-2015
GR,es  Athletic Club,8,3,2,3,9,8,1,11,Mikel San José - 2,Gorka Iraizoz,,2014-2015
GR,gr  Olympiacos,6,3,0,3,10,13,-3,9,"Ibrahim Afellay, Kostas Mitroglou - 2",Roberto,,2014-2015
GR,cy  APOEL FC,10,2,3,5,10,15,-5,9,Gustavo Manduca - 1,Urko Pardo,,2014-2015
GR,pt  Sporting CP,6,2,1,3,12,12,0,7,Nani - 4,Rui Patrício,,2014-2015
GR,be  Anderlecht,6,1,3,2,8,10,-2,6,"Aleksandar Mitrović, Chancel Mbemba... - 2",Silvio Proto,,2014-2015
GR,nl  Ajax,6,1,2,3,8,10,-2,5,Lasse Schöne - 3,Jasper Cillessen,,2014-2015
GR,eng  Liverpool,6,1,2,3,5,9,-4,5,Steven Gerrard - 2,Simon Mignolet,,2014-2015
GR,pt  Benfica,6,1,2,3,2,6,-4,5,"Eduardo Salvio, Talisca - 1",Júlio César,,2014-2015
GR,it  Roma,6,1,2,3,8,14,-6,5,Gervinho - 3,Morgan De Sanctis,,2014-2015
GR,ru  CSKA Moscow,6,1,2,3,6,13,-7,5,Seydou Doumbia - 3,Igor Akinfeev,,2014-2015
GR,tr  Galatasaray,6,0,1,5,4,19,-15,1,Burak Yılmaz - 2,Fernando Muslera,,2014-2015
W,es  Real Madrid,13,9,3,1,28,6,22,30,Cristiano Ronaldo - 16,Keylor Navas,→ Champions League via playoff win,2015-2016
F,es  Atlético Madrid,13,6,4,3,17,8,9,22,Antoine Griezmann - 7,Jan Oblak,,2015-2016
SF,de  Bayern Munich,12,8,2,2,30,11,19,26,Robert Lewandowski - 9,Manuel Neuer,,2015-2016
SF,eng  Manchester City,12,6,3,3,18,12,6,21,"Kevin De Bruyne, Raheem Sterling - 3",Joe Hart,,2015-2016
QF,es  Barcelona,10,7,2,1,22,8,14,23,Luis Suárez - 8,Marc-André ter Stegen,,2015-2016
QF,de  Wolfsburg,10,7,0,3,15,11,4,21,Julian Draxler - 3,Diego Benaglio,,2015-2016
QF,fr  Paris S-G,10,6,2,2,18,6,12,20,Zlatan Ibrahimović - 5,Kevin Trapp,,2015-2016
