Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Top Team Scorer,Goalkeeper,Notes
7,Lille,7,3,2,2,14,10,4,11,1.57,"Olivier Giroud, Hákon Arnar Haraldsson... - 2",Berke Özer,
8,Paris FC,7,3,1,3,12,13,-1,10,1.43,Ilan Kebbal - 4,Obed Nkambadio,
9,Toulouse,7,3,1,3,11,12,-1,10,1.43,Frank Magri - 3,Guillaume Restes,
10,Rennes,7,2,4,1,9,10,-1,10,1.43,Esteban Lepaul - 3,Brice Samba,
11,Brest,7,2,2,3,11,11,0,8,1.14,Romain Del Castillo - 3,Radosław Majecki,
12,Nice,7,2,2,3,9,12,-3,8,1.14,Sofiane Diop - 3,Yehvann Diouf,
13,Lorient,7,2,1,4,9,16,-7,7,1,"Tosin Aiyegun, Pablo Pagis - 3",Yvon Mvogo,
14,Nantes,7,1,3,3,5,7,-2,6,0.86,"Youssef El-Arabi, Mostafa Mohamed... - 1",Anthony Lopes,
15,Le Havre,7,1,3,3,8,10,-2,6,0.86,"Issa Soumaré, Rassoul Ndiaye - 3",Mory Diaw,
16,Auxerre,7,2,0,5,5,10,-5,6,0.86,Lassine Sinayoko - 2,Donovan Léon,
17,Angers,7,1,2,4,3,11,-8,5,0.71,"Esteban Lepaul, Himad Abdelli... - 1",Hervé Koffi,
18,Metz,7,0,2,5,5,16,-11,2,0.29,"Jean-Philippe Gbamin, Habib Diallo... - 1",Jonathan Fischer,
